epoch,train_loss,eval_loss,learning_rate,gpu_usage,cpu_usage
1,1.2865948308733377,1.0207521166120257,9.51080773606371e-05,89.42649147727273,3.1
2,0.9760771650888703,0.9977766150519961,9.01023890784983e-05,89.42649147727273,7.6
3,0.9498041130195964,0.9912096738815308,8.509670079635951e-05,89.42649147727273,7.6
4,0.9332979569651864,0.9874662518501282,8.009101251422071e-05,89.42649147727273,7.6
5,0.9208476445485245,0.9863101706618355,7.508532423208191e-05,89.42649147727273,9.4
6,0.9097208268669519,0.9876833512669518,7.007963594994313e-05,89.42649147727273,7.8
7,0.9000907788832079,0.9891044951620556,6.507394766780433e-05,89.42649147727273,7.6
8,0.8912711774964224,0.9895340845698402,6.0068259385665536e-05,89.42649147727273,7.6
9,0.8827545853501017,0.9888349916253771,5.5062571103526736e-05,89.42649147727273,7.6
10,0.8752205477519469,0.990436787832351,5.005688282138794e-05,89.42649147727273,7.6
11,0.868293766900897,0.9929209388437725,4.505119453924915e-05,89.42649147727273,7.6
12,0.8624984282797034,0.9937412503219786,4.004550625711036e-05,89.42649147727273,7.8
13,0.856458762538704,0.9953243899913061,3.5039817974971564e-05,89.42649147727273,8.0
14,0.8516522131589326,0.9991502202692486,3.0034129692832768e-05,89.42649147727273,7.6
15,0.8468968050520529,1.0015972001211983,2.502844141069397e-05,89.42649147727273,7.6
16,0.8432190897654404,1.002212062903813,2.002275312855518e-05,89.42649147727273,7.6
17,0.8397273443842476,1.0025250145367213,1.5017064846416384e-05,89.42649147727273,7.6
18,0.837103421241045,1.0029075991539729,1.001137656427759e-05,89.42649147727273,7.7
19,0.8349054255268791,1.003887703305199,5.005688282138795e-06,89.42649147727273,7.6
20,0.8332113738628951,1.0041041388398124,0.0,89.42649147727273,7.8
